<!-- MUNICIPALITY CODE|NAME|SV.WIKI|WIKIDATA , encoding="UTF-8" -->
1463|Mark|Marks kommun|q500153
767|Markaryd|Markaryds kommun|q240574
1461|Mellerud|Melleruds kommun|q501438
586|Mjölby|Mjölby kommun|q267030
1481|Mölndal|Mölndals kommun|q511270
861|Mönsterås|Mönsterås kommun|q515250
2062|Mora|Mora kommun|q504239
840|Mörbylånga|Mörbylånga kommun|q514756
583|Motala|Motala kommun|q508108
642|Mullsjö|Mullsjö kommun|q505076
1430|Munkedal|Munkedals kommun|q389040
1762|Munkfors|Munkfors kommun|q501494
182|Nacka|Nacka kommun|q946647
682|Nässjö|Nässjö kommun|q505096
1884|Nora|Nora kommun|q285894
1962|Norberg|Norbergs kommun|q37404
2132|Nordanstig|Nordanstigs kommun|q514805
2401|Nordmaling|Nordmalings kommun|q514722
581|Norrköping|Norrköpings kommun|q504676
188|Norrtälje|Norrtälje kommun|q214048
2417|Norsjö|Norsjö kommun|q507644
881|Nybro|Nybro kommun|q515318
480|Nyköping|Nyköpings kommun|q500267
140|Nykvarn|Nykvarns kommun|q499460
192|Nynäshamn|Nynäshamns kommun|q505090
2101|Ockelbo|Ockelbo kommun|q505109
1407|Öckerö|Öckerö kommun|q293928
509|Ödeshög|Ödeshögs kommun|q293970
1060|Olofström|Olofströms kommun|q504257
1880|Örebro|Örebro kommun|q297718
1257|Örkelljunga|Örkelljunga kommun|q297936
2284|Örnsköldsvik|Örnsköldsviks kommun|q298003
2034|Orsa|Orsa kommun|q504630
1421|Orust|Orusts kommun|q338752
1273|Osby|Osby kommun|q504594
882|Oskarshamn|Oskarshamns kommun|q505006
117|Österåker|Österåkers kommun|q117728
2380|Östersund|Östersunds kommun|q306789
382|Östhammar|Östhammars kommun|q59093
1256|Östra Göinge|Östra Göinge kommun|q307370
2121|Ovanåker|Ovanåkers kommun|q505085
2513|Överkalix|Överkalix kommun|q307569
2518|Övertorneå|Övertorneå kommun|q307603
481|Oxelösund|Oxelösunds kommun|q505246
2521|Pajala|Pajala kommun|q186230
1402|Partille|Partille kommun|q125222
1275|Perstorp|Perstorps kommun|q504249
2581|Piteå|Piteå kommun|q507656
2303|Ragunda|Ragunda kommun|q515342
2031|Rättvik|Rättviks kommun|q504244
2409|Robertsfors|Robertsfors kommun|q507670
1081|Ronneby|Ronneby kommun|q515373
1785|Säffle|Säffle kommun|q511326
1981|Sala|Sala kommun|q37399
128|Salem|Salems kommun|q1255130
2181|Sandviken|Sandvikens kommun|q149539
2082|Säter|Säters kommun|q1345439
684|Sävsjö|Sävsjö kommun|q505239
191|Sigtuna|Sigtuna kommun|q216915
1291|Simrishamn|Simrishamns kommun|q504626
1265|Sjöbo|Sjöbo kommun|q504601
1495|Skara|Skara kommun|q499421
2482|Skellefteå|Skellefteå kommun|q430780
1904|Skinnskatteberg|Skinnskattebergs kommun|q37462
1496|Skövde|Skövde kommun|q501452
1264|Skurup|Skurups kommun|q515266
2061|Smedjebacken|Smedjebackens kommun|q505046
2182|Söderhamn|Söderhamns kommun|q145835
582|Söderköping|Söderköpings kommun|q515680
181|Södertälje|Södertälje kommun|q516336
2283|Sollefteå|Sollefteå kommun|q221990
163|Sollentuna|Sollentuna kommun|q503746
184|Solna|Solna kommun|q109010
1083|Sölvesborg|Sölvesborgs kommun|q515409
2422|Sorsele|Sorsele kommun|q501463
1427|Sotenäs|Sotenäs kommun|q501420
1230|Staffanstorp|Staffanstorps kommun|q504609
1415|Stenungsund|Stenungsunds kommun|q511438
180|Stockholm|Stockholms kommun|q506250
1760|Storfors|Storfors kommun|q505936
2421|Storuman|Storumans kommun|q499415
486|Strängnäs|Strängnäs kommun|q501532
1486|Strömstad|Strömstads kommun|q501424
2313|Strömsund|Strömsunds kommun|q514770
183|Sundbyberg|Sundbybergs kommun|q972564
2281|Sundsvall|Sundsvalls kommun|q504994
1766|Sunne|Sunne kommun|q501205
1907|Surahammar|Surahammars kommun|q34078
1214|Svalöv|Svalövs kommun|q504227
1263|Svedala|Svedala kommun|q515706
1465|Svenljunga|Svenljunga kommun|q501487
160|Täby|Täby kommun|q493066
1435|Tanum|Tanums kommun|q511228
1472|Tibro|Tibro kommun|q501432
1498|Tidaholm|Tidaholms kommun|q501459
360|Tierp|Tierps kommun|q510198
2262|Timrå|Timrå kommun|q504983
763|Tingsryd|Tingsryds kommun|q515491
1419|Tjörn|Tjörns kommun|q501448
1270|Tomelilla|Tomelilla kommun|q515519
1473|Töreboda|Töreboda kommun|q501470
834|Torsås|Torsås kommun|q515551
1737|Torsby|Torsby kommun|q510135
687|Tranås|Tranås kommun|q505071
1452|Tranemo|Tranemo kommun|q501479
1287|Trelleborg|Trelleborgs kommun|q504219
1488|Trollhättan|Trollhättans kommun|q28532
488|Trosa|Trosa kommun|q505064
138|Tyresö|Tyresö kommun|q113730
1485|Uddevalla|Uddevalla kommun|q501442
1491|Ulricehamn|Ulricehamns kommun|q382808
2480|Umeå|Umeå kommun|q507709
114|Upplands Väsby|Upplands Väsby kommun|q499425
139|Upplands-Bro|Upplands-Bro kommun|q113673
380|Uppsala|Uppsala kommun|q59091
760|Uppvidinge|Uppvidinge kommun|q515505
584|Vadstena|Vadstena kommun|q515969
665|Vaggeryd|Vaggeryds kommun|q605329
563|Valdemarsvik|Valdemarsviks kommun|q509997
115|Vallentuna|Vallentuna kommun|q501526
1487|Vänersborg|Vänersborgs kommun|q511426
2460|Vännäs|Vännäs kommun|q500210
2021|Vansbro|Vansbro kommun|q501551
1470|Vara|Vara kommun|q501428
1383|Varberg|Varbergs kommun|q179180
1442|Vårgårda|Vårgårda kommun|q511297
120|Värmdö|Värmdö kommun|q493841
683|Värnamo|Värnamo kommun|q280562
1980|Västerås|Västerås kommun|q34550
883|Västervik|Västerviks kommun|q515477
187|Vaxholm|Vaxholms kommun|q500090
780|Växjö|Växjö kommun|q500217
1233|Vellinge|Vellinge kommun|q511338
685|Vetlanda|Vetlanda kommun|q505052
2462|Vilhelmina|Vilhelmina kommun|q515861
884|Vimmerby|Vimmerby kommun|q505057
2404|Vindeln|Vindelns kommun|q504505
428|Vingåker|Vingåkers kommun|q249378
512|Ydre|Ydre kommun|q515699
1286|Ystad|Ystads kommun|q505102
